id,name,lat,long,max_volt,node_synth
129370,UNKNOWN129370,47.55989012,-92.630007257,115.0,0
129372,UNKNOWN129372,47.5599664790001,-92.62861494,115.0,0
117672,UNKNOWN117672,39.26052057,-94.666643565,161.0,0
117690,UNKNOWN117690,39.2126660210001,-94.689758436,161.0,0
123763,UNKNOWN123763,40.5685035120001,-75.473526663,69.0,0
140201,RISER140201,40.5683446730001,-75.480828286,69.0,0
135902,BRANDFORD RR,41.2840554530001,-72.853777077,115.0,0
135912,TAP135912,41.287676504,-72.853996861,115.0,0
109098,UNKNOWN109098,30.5453003370001,-87.766728429,115.0,0
142772,TAP142772,30.384598774,-87.759539806,115.0,0
113876,UNKNOWN113876,39.984442943,-82.8870347709999,138.0,0
152438,EAST BROAD STREET,39.978642408,-82.839662505,138.0,0
125597,ONEIDA,43.1021156560001,-75.631130317,115.0,0
111051,HUNTSVILLE,34.72307326,-86.591429396,161.0,0
152049,TAP152049,35.9046454850001,-84.073640774,161.0,0
111093,EBENEZER,34.2543945990001,-86.941861334,161.0,0
137261,TAP137261,41.396435437,-81.886657065,138.0,0
137264,RISER137264,41.4008421990001,-81.879810404,138.0,0
109878,UNKNOWN109878,33.351169536,-86.569290902,115.0,0
111679,UNKNOWN111679,33.3394560150001,-86.5664370809999,115.0,0
143191,TAP143191,29.9665044390001,-90.1171192639999,230.0,0
143565,MIDTOWN,44.9507230180001,-93.2670676719999,115.0,0
122189,UNKNOWN122189,41.715169937,-90.278938883,345.0,0
146219,QUAD CITIES,41.726519077,-90.306270403,345.0,0
115133,UNKNOWN115133,30.50142133,-91.1741599979999,,0
149877,GOUDCHAUX,30.5108876190001,-91.17741748,69.0,0
151996,CLIFFSIDE,35.21963057,-81.767203615,230.0,0
152641,SHELBY TIE,35.257138237,-81.544039691,230.0,0
127722,WHEELABRATOR HUDSON FALLS,43.3060991610001,-73.59197194,115.0,0
136039,TAP136039,43.3091642530001,-73.5986358869999,115.0,0
114247,UNKNOWN114247,30.5878329340001,-90.886359344,,0
114652,UNKNOWN114652,30.516518266,-90.672824076,,0
146601,PRATT'S,38.3486335170001,-78.26861639,115.0,0
147525,GORDONSVILLE,38.1265477530001,-78.221549135,230.0,0
133143,UNKNOWN133143,47.498696538,-101.427873858,230.0,0
135243,JAMESTOWN,46.8758853100001,-98.6842267279999,230.0,0
112758,UNKNOWN112758,34.9928934330001,-78.3225421619999,115.0,0
118826,CLINTON,35.516755625,-98.9609134459999,138.0,0
119474,UNKNOWN119474,37.0843209660001,-97.1349815839999,138.0,0
119679,UNKNOWN119679,37.1136917860001,-97.076026138,69.0,0
117348,UNKNOWN117348,34.956917747,-92.048867714,500.0,0
121601,UNKNOWN121601,35.0899968640001,-92.170954025,161.0,0
114295,AZCO,34.619434266,-86.080612,161.0,0
153405,TAP153405,34.7279448240001,-86.278760539,161.0,0
116083,UNKNOWN116083,33.90967613,-84.243422574,230.0,0
151329,NORCROSS,33.9324796670001,-84.2137904479999,500.0,0
141869,TAP141869,33.0798989470001,-84.195545449,115.0,0
141870,TAP141870,33.079568018,-84.195700733,115.0,0
147559,CHICKAHOMINY,37.437376197,-77.158523288,500.0,0
147927,LANEXA,37.4201669380001,-76.91198959,230.0,0
